Original_dist,Destination_dist,Case,Num
Yau Tsim Mong,Kowloon City,"[415, 611, 1314, 1364, 2002, 2360, 2642, 3102, 4996, 7143, 7652, 7652]",12
Yau Tsim Mong,Kwai Tsing,"[1820, 1820, 2475, 2723, 3076, 8518]",6
Yau Tsim Mong,Sha Tin,"[333, 529, 1483, 2795, 4679, 4852, 5331, 5751, 7267, 7472]",10
Yau Tsim Mong,Southern,"[512, 6350, 6350, 7921]",4
Yau Tsim Mong,Eastern,"[2204, 2276, 4757, 5661, 5661, 6278, 6958, 6958, 6958]",9
Yau Tsim Mong,Sai Kung,"[756, 756, 2147, 2536, 5534]",5
Yau Tsim Mong,Wong Tai Sin,"[2240, 3629, 4827, 5939, 5985, 6022, 6553, 7472]",8
Yau Tsim Mong,Yuen Long,"[4032, 8806]",2
Yau Tsim Mong,Kwun Tong,"[19, 200, 1283, 1297, 3176, 3191, 5546, 5762, 6022, 7267, 7267, 7472, 8578, 8955]",14
Yau Tsim Mong,Wan Chai,"[192, 499, 519, 531, 557, 648, 648, 648, 648, 648, 648, 648, 972, 972, 1860, 1925, 2291, 2291, 4482, 4695, 4695, 4695, 4811, 4912, 5136, 5484, 5524, 5531, 5538, 5546, 5588, 5661, 5722, 6001, 6553, 6553, 6958, 6972, 7062, 7242, 7889]",41
Yau Tsim Mong,Tsuen Wan,"[1050, 1050, 2204, 2204, 2204, 2318, 2318, 2318, 4159, 4261, 4723]",11
Yau Tsim Mong,Tai Po,"[5534, 5661]",2
Yau Tsim Mong,Central & Western,"[9, 10, 11, 192, 199, 415, 497, 586, 586, 586, 961, 972, 972, 972, 2143, 2193, 2249, 2733, 3102, 4607, 4607, 4661, 5985, 6093, 6169, 6350, 6539, 6539, 6540, 6785, 6958, 7978]",32
Yau Tsim Mong,Tuen Mun,"[1739, 1783]",2
Yau Tsim Mong,Sham Shui Po,"[1483, 1724, 1724, 2089, 2089, 2089, 2204, 2234, 2234, 2249, 3489, 3519, 4867, 4872, 4873, 5534, 5591, 5751, 6105, 6221, 6607, 6757, 7363, 7363, 7363, 7364, 7496, 7647, 7650, 7757]",30
Yau Tsim Mong,Island,"[3857, 7134, 7306, 8759]",4
Yau Tsim Mong,North,"[1276, 2495, 2717, 6600]",4
Kowloon City,Yau Tsim Mong,"[16, 195, 195, 405, 437, 437, 437, 447, 514, 514, 514, 746, 1368, 1426, 1623, 1633, 1765, 1808, 1808, 1924, 1924, 1924, 1942, 2060, 2152, 2175, 2192, 2327, 2476, 2476, 2783, 2847, 3031, 3144, 3187, 3826, 3826, 3998, 3998, 3999, 3999, 4046, 4046, 4425, 4693, 4694, 4779, 4843, 5663, 5663, 5721, 5721, 5721, 5775, 5788, 5854, 5866, 5889, 5918, 5919, 5922, 5925, 5925, 5928, 5963, 6113, 6113, 6158, 6158, 6200, 6201, 6201, 6234, 6249, 6335, 6412, 6567, 6651, 6730, 6746, 6838, 6838, 6838, 6956, 7119, 7119, 7271, 7753, 7950, 8044, 8116, 8116, 8116, 8195, 8195, 8470, 8495, 8870, 8901, 8915]",100
Kowloon City,Kwai Tsing,"[1457, 3253, 3253, 4097, 4164, 4266, 5547, 5807, 6662]",9
Kowloon City,Sha Tin,"[514, 1400, 3418, 3418, 3418, 3418, 3773, 4174, 5721, 5766, 5925, 5925, 6048, 6158, 7974, 7990]",16
Kowloon City,Southern,"[4967, 7141]",2
Kowloon City,Eastern,"[1633, 6158, 6158, 6303, 6412, 7119, 8404, 9049, 9049]",9
Kowloon City,Sai Kung,"[1695, 2068, 2206, 2206, 5807, 6484, 6491, 6617, 7141]",9
Kowloon City,Wong Tai Sin,"[1569, 1633, 1633, 1695, 3235, 3631, 4419, 4855, 4855, 5547, 5612, 5766, 5800, 5864, 5870, 5918, 7871, 8172, 8280, 8495, 8495, 8901, 8901]",23
Kowloon City,Yuen Long,[2192],1
Kowloon City,Kwun Tong,"[262, 437, 437, 746, 1368, 1368, 1368, 1457, 1624, 1765, 1808, 2434, 2448, 2720, 2811, 3231, 3385, 3607, 3759, 4038, 4068, 4292, 4595, 4595, 4855, 5511, 5511, 6956, 6956, 6959, 7882, 7990, 8329, 8509, 8767]",35
Kowloon City,Wan Chai,"[154, 195, 195, 437, 437, 437, 437, 509, 746, 746, 774, 774, 925, 925, 925, 1765, 2181, 2448, 3565, 4232, 5312, 5371, 5511, 5547, 5547, 5638, 6158, 6158, 6201, 6201, 6201, 6234, 6360, 6382, 6504, 6564, 6618, 6730, 6746, 6752]",40
Kowloon City,Tsuen Wan,"[8110, 8110, 8496]",3
Kowloon City,Tai Po,"[1942, 6412, 6670, 7067, 7990, 7990]",6
Kowloon City,Central & Western,"[195, 195, 195, 195, 195, 195, 227, 227, 227, 227, 437, 609, 746, 2109, 3613, 3954, 3954, 4030, 4636, 5312, 5547, 5638, 5659, 5659, 5807, 6234, 6303, 6567, 6567]",29
Kowloon City,Tuen Mun,"[2192, 2192]",2
Kowloon City,Sham Shui Po,"[609, 757, 925, 1263, 1263, 1263, 1263, 1619, 1808, 3046, 3631, 5721, 5766, 5775, 6178, 6200, 6201, 7115, 8593, 8593]",20
Kowloon City,Island,"[1754, 3893]",2
