Visited_Building_name,Count
竹篙灣檢疫中心,442
葵涌邨逸葵樓,275
葵涌邨映葵樓,103
薄扶林道64-68號 URSUS Fitness,102
葵涌商場,101
慈雲山中心,92
金雞廣場 金儷星,92
指定檢疫設施（竹篙灣檢疫中心）,92
華美達海景酒店,78
華美達盛景酒店,73
北河街市政大廈,72
香港海景絲麗酒店,71
華美達華麗酒店,65
楊屋道市政大廈,64
九龍維景酒店,64
富豪機場酒店,61
香港天際萬豪酒店,57
牛池灣市政大廈,51
大窩口商場,47
大興邨興平樓,46
彩雲(二)邨明麗樓,45
三湘大廈 Starlight Dance Club,45
東華三院方樹泉日間活動中心暨宿舍,41
紅磡市政大廈,39
諾士佛臺9號,37
新墟街市,37
日出康城9期地盤,37
朗豪坊,35
怡安閣,35
雅蘭中心 稻香,34
富豪東方酒店,32
K11人文購物藝術館 名潮食館,32
彩雲商場,31
黃家圍一台104、105、106、107、114、115地下及112-113號,31
華麗銅鑼灣酒店,31
新都會廣場,30
越秀廣場 新光宴會廳,30
養和醫院,29
蒲明里6、8、10、12號及蒲惠里11號,29
大成街街市,28
大圍街市,28
香港荃灣絲麗酒店,28
好利商業大廈,27
謝斐道76號,27
慈康邨康添樓,27
葵盛西邨8座,27
德輔道西9號 Heavenly Dance,27
香港遠東絲麗酒店,26
華大盛品酒店,26
彩雲(一)邨長波樓,26
葵涌廣場,25
大橋街市,25
指定檢疫設施（香港沙田萬怡酒店）,25
彩輝邨彩華樓,24
屯門中央廣場 富臨酒家,24
土瓜灣市政大廈暨政府合署,23
秀茂坪商場,23
保安道市政大廈,23
葵涌邨雅葵樓,23
美麗華廣場 菲力偉,23
荃灣帝盛酒店,22
華麗都會酒店,22
石湖墟市政大廈,22
大埔綜合大樓,22
海港城,22
香港旺角帝盛酒店,22
新城市廣場3期1及2樓一田百貨,22
香港荃灣帝盛酒店,22
晴朗商場,21
瑞和街市政大廈,21
觀塘帝盛酒店,20
最佳盛品酒店尖沙咀,20
慈正邨正康樓,20
慈雲山中心 翠河餐廳,20
元朗廣場,20
君怡酒店,20
愛定商場,20
盈暉薈 君好宴會廳,20
